0.985 ± 0.000   beta 0.2,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset chameleon,sub_dataset ENGB,run 2,epochs 2000,lr 0.0001,m 5
0.991 ± 0.001,[0.9901965  0.99245883 0.99090594 0.99060433 0.99025404],beta 0.2,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset chameleon,sub_dataset ENGB,run 5,epochs 3000,lr 0.0001,m 5
0.990 ± 0.000,[0.98974691],beta 0.2,temperature 1,nfactor 5,nhidden 64,nembed 32,layer 1,dataset chameleon,sub_dataset Amherst41,run 1,epochs 2000,lr 0.0001,m 5
0.993 ± 0.000,[0.99257411],beta 0.6,temperature 1,nfactor 6,nhidden 256,nembed 32,layer 1,dataset chameleon,sub_dataset Amherst41,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.991 ± 0.000,[0.99146245],beta 0.2,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset chameleon,sub_dataset Amherst41,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.991 ± 0.000,[0.99128655],beta 0.2,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset chameleon,sub_dataset Amherst41,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.991 ± 0.000,[0.99068834],beta 0.2,temperature 1,nfactor 5,nhidden 256,nembed 8,layer 1,dataset chameleon,sub_dataset Amherst41,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.992 ± 0.000,[0.99219016],beta 0.2,temperature 1,nfactor 5,nhidden 256,nembed 16,layer 1,dataset chameleon,sub_dataset Amherst41,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.991 ± 0.000,[0.99052116],beta 0.2,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset chameleon,sub_dataset Amherst41,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.975 ± 0.000,[0.97530455],beta 0.2,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset chameleon,sub_dataset Amherst41,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.977 ± 0.000,[0.9774258],beta 0.2,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset chameleon,sub_dataset Amherst41,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.979 ± 0.000,[0.97913137],beta 0.2,temperature 1,nfactor 6,nhidden 256,nembed 32,layer 1,dataset chameleon,sub_dataset Amherst41,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.978 ± 0.000,[0.97845335],beta 0.2,temperature 1,nfactor 7,nhidden 256,nembed 32,layer 1,dataset chameleon,sub_dataset Amherst41,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.990 ± 0.000,[0.98971314],beta 0.2,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset chameleon,sub_dataset Amherst41,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.990 ± 0.000,[0.99002916],beta 0.2,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset chameleon,sub_dataset Amherst41,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.959 ± 0.000,[0.95864781],beta 0.2,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset chameleon,sub_dataset Amherst41,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.933 ± 0.000,[0.93274448],beta 0.2,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset chameleon,sub_dataset Amherst41,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.960 ± 0.001,[0.95791977 0.96020092 0.96077375],beta 0.2,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset chameleon,sub_dataset Amherst41,run 3,epochs 2000,lr 0.0001,miniid 2,m 5
0.840 ± 0.012,[0.85599779 0.82736401 0.8356823 ],beta 0.2,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset chameleon,sub_dataset Johns Hopkins55,run 3,epochs 10,lr 0.0001,miniid 2,m 5
0.992 ± 0.000,[0.99161893],beta 0.5,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset chameleon,sub_dataset ENGB,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.992 ± 0.000,[0.99186747],beta 0.5,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset chameleon,sub_dataset ENGB,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.988 ± 0.000,[0.98767675],beta 0.2,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset chameleon,sub_dataset Amherst41,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.988 ± 0.000,[0.98829426],beta 0.2,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset chameleon,sub_dataset Amherst41,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.991 ± 0.000,[0.99109412],beta 0.2,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset chameleon,sub_dataset DE,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
