0.625 ± 0.042,[0.68543124 0.62099237 0.60932401 0.59049383 0.64758454 0.68122066
 0.62931873 0.597669   0.53987654 0.6476378 ],beta 0.1,temperature 1,nfactor 5,nhidden 512,nembed 32,layer 1,dataset cornell,sub_dataset ES,run 10,epochs 2000,lr 0.0001,miniid 2,m 5
0.639 ± 0.035,[0.64962406 0.65833333 0.6646283  0.60927318 0.6462585  0.71997636
 0.60284238 0.6262963  0.60095923 0.61212121],beta 0.3,temperature 1,nfactor 5,nhidden 512,nembed 32,layer 1,dataset cornell,sub_dataset ES,run 10,epochs 2000,lr 0.0001,miniid 2,m 5
0.660 ± 0.054,[0.61496063 0.65357143 0.69963768 0.69319249 0.56950355 0.58884892
 0.66294964 0.75477855 0.70851852 0.65361305],beta 0.4,temperature 1,nfactor 5,nhidden 512,nembed 32,layer 1,dataset cornell,sub_dataset ES,run 10,epochs 2000,lr 0.0001,miniid 2,m 5
0.664 ± 0.044,[0.6462963  0.68848921 0.60517241 0.72004831 0.6712963  0.73051643
 0.6347032  0.64882629 0.59432099 0.70037594],beta 0.7,temperature 1,nfactor 5,nhidden 512,nembed 32,layer 1,dataset cornell,sub_dataset ES,run 10,epochs 2000,lr 0.0001,miniid 2,m 5
0.620 ± 0.052,[0.59951691 0.64929577 0.53429952 0.70932203 0.61127098 0.63697917
 0.57210402 0.56       0.66702381 0.65985915],beta 0.9,temperature 1,nfactor 5,nhidden 512,nembed 32,layer 1,dataset cornell,sub_dataset ES,run 10,epochs 2000,lr 0.0001,miniid 2,m 5
0.654 ± 0.066,[0.5600939  0.64402036 0.58876812 0.59661836 0.76032864 0.64444444
 0.72163121 0.69940898 0.73181818 0.59498747],beta 0.7,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset cornell,sub_dataset ES,run 10,epochs 2000,lr 0.0001,miniid 2,m 5
0.635 ± 0.070,[0.68417874 0.69772182 0.66518519 0.47977011 0.64396135 0.57512255
 0.72123288 0.57044917 0.6221393  0.68872902],beta 0.7,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset cornell,sub_dataset ES,run 10,epochs 2000,lr 5e-05,miniid 2,m 5
0.664 ± 0.040,[0.64835681 0.65597015 0.73642857 0.61314554 0.6678487 ],beta 0.1,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset cornell,sub_dataset ES,run 5,epochs 2000,lr 5e-05,miniid 2,m 5
0.628 ± 0.063,[0.61582734 0.57300469 0.68623188 0.71449275 0.55236318],beta 0.7,temperature 1,nfactor 5,nhidden 512,nembed 32,layer 1,dataset cornell,sub_dataset ES,run 5,epochs 2000,lr 1e-05,miniid 2,m 5
0.660 ± 0.032,[0.71798561 0.63240093 0.63021583 0.64916067 0.67205514],beta 0.7,temperature 1,nfactor 5,nhidden 1024,nembed 32,layer 1,dataset cornell,sub_dataset ES,run 5,epochs 2000,lr 1e-05,miniid 2,m 5
0.624 ± 0.063,[0.69191542 0.56716792 0.62937063 0.69298851 0.53925121],beta 0.7,temperature 1,nfactor 5,nhidden 512,nembed 32,layer 1,dataset cornell,sub_dataset ES,run 5,epochs 2000,lr 1e-05,miniid 2,m 5
0.624 ± 0.066,[0.63296569 0.66813725 0.63406326 0.68585859 0.49775414],beta 0.7,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset cornell,sub_dataset ES,run 5,epochs 2000,lr 1e-05,miniid 2,m 5
0.651 ± 0.057,[0.65753086 0.62406103 0.70643678 0.71050725 0.55833333],beta 0.5,temperature 1,nfactor 5,nhidden 512,nembed 32,layer 1,dataset cornell,sub_dataset Johns Hopkins55,run 5,epochs 2000,lr 0.0001,miniid 2,m 5
0.677 ± 0.055,[0.72876543 0.60894309 0.61313869 0.70273632 0.73172414],beta 0.5,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset cornell,sub_dataset Johns Hopkins55,run 5,epochs 2000,lr 0.0001,miniid 2,m 5
0.599 ± 0.039,[0.56223776 0.64227053 0.56525822 0.65035714 0.5735589 ],beta 0.5,temperature 1,nfactor 5,nhidden 512,nembed 32,layer 1,dataset cornell,sub_dataset ENGB,run 5,epochs 2000,lr 0.0001,miniid 2,m 5
0.664 ± 0.048,[0.73722222 0.6091954  0.67       0.68833333 0.61611111],beta 0.5,temperature 1,nfactor 5,nhidden 512,nembed 32,layer 1,dataset cornell,sub_dataset ENGB,run 5,epochs 2000,lr 0.0001,miniid 2,m 1
