0.894 ± 0.000   beta 0.6,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 1,epochs 2000,lr 0.001,m 5
0.858 ± 0.000   beta 0.6,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 1,epochs 2000,lr 0.001,m 5
0.853 ± 0.000   beta 0.6,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 1,epochs 2000,lr 0.001,m 5
0.909 ± 0.000   beta 0.6,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 1,epochs 2000,lr 0.001,m 5
0.911 ± 0.000   beta 0.6,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 1,epochs 2000,lr 0.001,m 5
0.902 ± 0.000   beta 0.6,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 1,epochs 2000,lr 0.001,m 5
0.907 ± 0.000   beta 0.6,temperature 1,nfactor 8,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 1,epochs 2000,lr 0.001,m 5
0.906 ± 0.000   beta 0.6,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 1,epochs 2000,lr 0.001,m 5
0.907 ± 0.000   beta 0.6,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 1,epochs 2000,lr 0.001,m 5
0.905 ± 0.001   beta 0.6,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 3,epochs 2000,lr 0.001,m 5
