0.901 ± 0.003   beta 0.5,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ES,run 10,epochs 2000,lr 0.001,m 5
0.902 ± 0.002   beta 0.6,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ES,run 10,epochs 2000,lr 0.001,m 5
0.905 ± 0.002   beta 0.7,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ES,run 10,epochs 2000,lr 0.001,m 5
0.908 ± 0.003   beta 0.8,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ES,run 10,epochs 2000,lr 0.001,m 5
0.873 ± 0.002   beta 0.5,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset FR,run 10,epochs 2000,lr 0.001,m 5
0.876 ± 0.001   beta 0.6,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset FR,run 10,epochs 2000,lr 0.001,m 5
0.877 ± 0.001   beta 0.7,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset FR,run 10,epochs 2000,lr 0.001,m 5
0.880 ± 0.001   beta 0.8,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset FR,run 10,epochs 2000,lr 0.001,m 5
0.889 ± 0.002   beta 0.6,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset PTBR,run 10,epochs 2000,lr 0.001,m 5
0.893 ± 0.002   beta 0.7,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset PTBR,run 10,epochs 2000,lr 0.001,m 5
0.891 ± 0.003   beta 0.8,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset PTBR,run 10,epochs 2000,lr 0.001,m 5
0.903 ± 0.003   beta 0.5,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 10,epochs 2000,lr 0.001,m 5
0.906 ± 0.004   beta 0.6,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 10,epochs 2000,lr 0.001,m 5
0.909 ± 0.003   beta 0.7,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 10,epochs 2000,lr 0.001,m 5
0.907 ± 0.003   beta 0.8,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 10,epochs 2000,lr 0.001,m 5
0.874 ± 0.003   beta 0.5,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset TW,run 10,epochs 2000,lr 0.001,m 5
0.874 ± 0.002   beta 0.6,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset TW,run 10,epochs 2000,lr 0.001,m 5
0.879 ± 0.003   beta 0.7,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset TW,run 10,epochs 2000,lr 0.001,m 5
0.882 ± 0.003   beta 0.8,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset TW,run 10,epochs 2000,lr 0.001,m 5
0.906 ± 0.002   beta 0.85,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ES,run 10,epochs 2000,lr 0.001,m 5
0.904 ± 0.001   beta 0.9,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ES,run 10,epochs 2000,lr 0.001,m 5
0.881 ± 0.002   beta 0.85,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset FR,run 10,epochs 2000,lr 0.001,m 5
0.879 ± 0.001   beta 0.9,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset FR,run 10,epochs 2000,lr 0.001,m 5
0.894 ± 0.002   beta 0.85,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset PTBR,run 10,epochs 2000,lr 0.001,m 5
0.907 ± 0.003   beta 0.85,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 10,epochs 2000,lr 0.001,m 5
0.907 ± 0.003   beta 0.9,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 10,epochs 2000,lr 0.001,m 5
0.882 ± 0.003   beta 0.85,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset TW,run 10,epochs 2000,lr 0.001,m 5
0.885 ± 0.002   beta 0.9,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset TW,run 10,epochs 2000,lr 0.001,m 5
