0.867 ± 0.003   beta 0.1,temperature 1,nfactor 5,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 2,epochs 2000,lr 0.001,loss_weight 20 
0.880 ± 0.003   beta 0.2,temperature 1,nfactor 5,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 2,epochs 2000,lr 0.001,loss_weight 20 
0.889 ± 0.002   beta 0.3,temperature 1,nfactor 5,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 2,epochs 2000,lr 0.001,loss_weight 20 
0.896 ± 0.002   beta 0.4,temperature 1,nfactor 5,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 2,epochs 2000,lr 0.001,loss_weight 20 
0.897 ± 0.001   beta 0.5,temperature 1,nfactor 5,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 2,epochs 2000,lr 0.001,loss_weight 20 
0.898 ± 0.002   beta 0.6,temperature 1,nfactor 5,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 2,epochs 2000,lr 0.001,loss_weight 20 
0.896 ± 0.006   beta 0.7,temperature 1,nfactor 5,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 2,epochs 2000,lr 0.001,loss_weight 20 
0.896 ± 0.002   beta 0.8,temperature 1,nfactor 5,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 2,epochs 2000,lr 0.001,loss_weight 20 
0.896 ± 0.001   beta 0.9,temperature 1,nfactor 5,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 2,epochs 2000,lr 0.001,loss_weight 20 
0.896 ± 0.001   beta 0.6,temperature 1,nfactor 4,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 2,epochs 2000,lr 0.001,loss_weight 20 
