0.976 ± 0.000   beta 0.2,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset squirrel,sub_dataset ES,run 2,epochs 2000,lr 0.0001,m 5
0.982 ± 0.001,[0.98292843 0.98315195 0.98276823 0.98045609 0.98226885],beta 0.2,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset squirrel,sub_dataset FR,run 5,epochs 3000,lr 0.0001,m 5
0.992 ± 0.000,[0.99176079],beta 0.2,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset squirrel,sub_dataset Amherst41,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.980 ± 0.000,[0.98003017],beta 0.2,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset squirrel,sub_dataset Amherst41,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.935 ± 0.000,[0.93536287],beta 0.2,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset squirrel,sub_dataset Amherst41,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.952 ± 0.000,[0.95207891],beta 0.2,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset squirrel,sub_dataset Amherst41,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.979 ± 0.000,[0.97852669],beta 0.1,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset squirrel,sub_dataset ES,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.980 ± 0.000,[0.98024525],beta 0.2,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset squirrel,sub_dataset ES,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.982 ± 0.000,[0.98181224],beta 0.3,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset squirrel,sub_dataset ES,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.981 ± 0.000,[0.98113307],beta 0.4,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset squirrel,sub_dataset ES,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.982 ± 0.000,[0.98174256],beta 0.5,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset squirrel,sub_dataset ES,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.981 ± 0.000,[0.98076009],beta 0.6,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset squirrel,sub_dataset ES,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.981 ± 0.000,[0.98149914],beta 0.6,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset squirrel,sub_dataset ES,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.982 ± 0.000,[0.98163236],beta 0.7,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset squirrel,sub_dataset ES,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.982 ± 0.000,[0.98160783],beta 0.8,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset squirrel,sub_dataset ES,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.980 ± 0.000,[0.98046069],beta 0.9,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset squirrel,sub_dataset ES,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.980 ± 0.000,[0.98039066],beta 0.1,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset squirrel,sub_dataset ES,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.979 ± 0.000,[0.97878183],beta 0.2,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset squirrel,sub_dataset ES,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.982 ± 0.000,[0.98243532],beta 0.3,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset squirrel,sub_dataset ES,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.981 ± 0.000,[0.98119624],beta 0.4,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset squirrel,sub_dataset ES,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.982 ± 0.000,[0.9816423],beta 0.5,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset squirrel,sub_dataset ES,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.982 ± 0.000,[0.98162229],beta 0.6,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset squirrel,sub_dataset ES,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.982 ± 0.000,[0.98166446],beta 0.7,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset squirrel,sub_dataset ES,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.981 ± 0.000,[0.98050293],beta 0.8,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset squirrel,sub_dataset ES,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.981 ± 0.000,[0.98066765],beta 0.9,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset squirrel,sub_dataset ES,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.980 ± 0.000,[0.9802527],beta 0.1,temperature 1,nfactor 5,nhidden 512,nembed 32,layer 1,dataset squirrel,sub_dataset ES,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.982 ± 0.000,[0.98167483],beta 0.2,temperature 1,nfactor 5,nhidden 512,nembed 32,layer 1,dataset squirrel,sub_dataset ES,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.983 ± 0.000,[0.98255366],beta 0.3,temperature 1,nfactor 5,nhidden 512,nembed 32,layer 1,dataset squirrel,sub_dataset ES,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
