0.944 ± 0.001,[0.94265744 0.94400547 0.94532932 0.94447184 0.94464184],beta 0.5,temperature 1,nfactor 1,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ENGB,run 5,epochs 2000,lr 0.0001,miniid 2,m 5
0.953 ± 0.001,[0.95242705 0.95569138 0.95151772 0.95262382 0.95379154],beta 0.5,temperature 1,nfactor 2,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ENGB,run 5,epochs 2000,lr 0.0001,miniid 2,m 5
0.953 ± 0.002,[0.95171668 0.95107084 0.95712977 0.95282544 0.95384695],beta 0.5,temperature 1,nfactor 3,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ENGB,run 5,epochs 2000,lr 0.0001,miniid 2,m 5
0.958 ± 0.001,[0.95693832 0.95921931 0.95765238 0.95884462 0.95898169],beta 0.5,temperature 1,nfactor 4,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ENGB,run 5,epochs 2000,lr 0.0001,miniid 2,m 5
0.957 ± 0.002,[0.95894836 0.95711956 0.95852091 0.95850696 0.95366718],beta 0.5,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ENGB,run 5,epochs 2000,lr 0.0001,miniid 2,m 5
0.959 ± 0.002,[0.95792018 0.96134289 0.95534025 0.95951079 0.95952632],beta 0.5,temperature 1,nfactor 6,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ENGB,run 5,epochs 2000,lr 0.0001,miniid 2,m 5
0.957 ± 0.001,[0.95777495 0.95480337 0.95794249 0.95592311 0.95651396],beta 0.5,temperature 1,nfactor 7,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ENGB,run 5,epochs 2000,lr 0.0001,miniid 2,m 5
0.960 ± 0.000,[0.96012562],beta 0.5,temperature 1,nfactor 8,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ENGB,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.959 ± 0.000,[0.958631],beta 0.5,temperature 1,nfactor 9,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ENGB,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.957 ± 0.000,[0.95747089],beta 0.5,temperature 1,nfactor 10,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ENGB,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
