
0.916 ± 0.001   beta 0.85,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ENGB,run 3,epochs 2000,lr 0.001,m 5
0.896 ± 0.002   beta 1.0,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset PTBR,run 3,epochs 2000,lr 0.001,m 5
0.883 ± 0.000   beta 1.0,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset PTBR,run 1,epochs 2000,lr 0.001,m 5
0.903 ± 0.000   beta 1.0,temperature 1,nfactor 5,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset PTBR,run 1,epochs 2000,lr 0.001,m 5
0.886 ± 0.003   beta 0.5,temperature 1,nfactor 5,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset PTBR,run 3,epochs 2000,lr 0.001,m 5
0.894 ± 0.003   beta 0.6,temperature 1,nfactor 5,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset PTBR,run 3,epochs 2000,lr 0.001,m 5
0.891 ± 0.003   beta 0.7,temperature 1,nfactor 5,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset PTBR,run 3,epochs 2000,lr 0.001,m 5
0.892 ± 0.003   beta 0.8,temperature 1,nfactor 5,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset PTBR,run 3,epochs 2000,lr 0.001,m 5
0.895 ± 0.002   beta 0.85,temperature 1,nfactor 5,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset PTBR,run 3,epochs 2000,lr 0.001,m 5
0.895 ± 0.003   beta 0.9,temperature 1,nfactor 5,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset PTBR,run 3,epochs 2000,lr 0.001,m 5
0.900 ± 0.000   beta 1.0,temperature 1,nfactor 5,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset PTBR,run 2,epochs 2000,lr 0.001,m 5
0.877 ± 0.000   beta 0.5,temperature 1,nfactor 5,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset TW,run 2,epochs 2000,lr 0.001,m 5
0.877 ± 0.002   beta 0.6,temperature 1,nfactor 5,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset TW,run 2,epochs 2000,lr 0.001,m 5
0.880 ± 0.002   beta 0.7,temperature 1,nfactor 5,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset TW,run 2,epochs 2000,lr 0.001,m 5
0.880 ± 0.001   beta 0.8,temperature 1,nfactor 5,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset TW,run 2,epochs 2000,lr 0.001,m 5
0.884 ± 0.003   beta 0.85,temperature 1,nfactor 5,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset TW,run 2,epochs 2000,lr 0.001,m 5
